cod_municipio;cod_unico_endereco;num_quadra;nom_logradouro;num_endereco;nom_logradouro_adjacente;dim_testada;dim_profundidade
4104501;4104501.124257-0;4104501.124257-0; RUA MINAS GERAIS;4858;;10;20
4104501;4104501.124265-0;4104501.124265-0; RUA MINAS GERAIS;4874;;10;20
4104501;4104501.124273-0;4104501.124273-0; RUA JOSÉ ROYER ;1044;;10;20
4104501;4104501.124281-0;4104501.124281-0; RUA JOSÉ ROYER ;1066;;10;20
4104501;4104501.124290-0;4104501.124290-0; RUA JOSÉ ROYER ;1080;;10;20
4104501;4104501.124303-0;4104501.124303-0; RUA JOSÉ ROYER ;1092;;10;20
4104501;4104501.124311-1;4104501.124311-1; RUA JOSÉ ROYER ;1110;;10;20
4104501;4104501.12432-1;4104501.12432-1; RUA AIMORES;1093;;10;20
4104501;4104501.12432-3;4104501.12432-3; RUA AIMORES;1093;;10;20
4104501;4104501.12432-4;4104501.12432-4; RUA AIMORES;1093;;10;20
4104501;4104501.124320-0;4104501.124320-0; RUA JOSÉ ROYER ;1114;;10;20
4104501;4104501.124338-0;4104501.124338-0; RUA JOSÉ ROYER ;1122;;10;20
4104501;4104501.124346-0;4104501.124346-0; RUA JOSÉ ROYER ;1130;;10;20
4104501;4104501.124354-0;4104501.124354-0; RUA JOSÉ ROYER ;1145;;10;20
4104501;4104501.124362-0;4104501.124362-0; RUA JOSÉ ROYER ;1133;;10;20
4104501;4104501.124371-0;4104501.124371-0; RUA JOSÉ ROYER ;1119;;10;20
4104501;4104501.124389-0;4104501.124389-0; RUA JOSÉ ROYER ;1105;;10;20
4104501;4104501.124397-0;4104501.124397-0; RUA JOSÉ ROYER ;1097;;10;20
4104501;4104501.1244-1;4104501.1244-1; RUA PADRE CIRILO;2633;;10;20
4104501;4104501.1244-2;4104501.1244-2; RUA PADRE CIRILO;2633;;10;20
4104501;4104501.124401-1;4104501.124401-1; RUA JOSÉ ROYER ;1081;;10;20
4104501;4104501.12441-1;4104501.12441-1; RUA TAMOIOS ;1010;;10;20
4104501;4104501.124419-0;4104501.124419-0; RUA JOSÉ ROYER ;1069;;10;20
4104501;4104501.124427-1;4104501.124427-1; RUA JOSÉ ROYER ;1045;;10;20
4104501;4104501.124435-0;4104501.124435-0; RUA MINAS GERAIS;4928;;10;20
4104501;4104501.124443-0;4104501.124443-0; RUA MINAS GERAIS;4942;;10;20
4104501;4104501.124451-1;4104501.124451-1; RUA MINAS GERAIS;4230;;10;20
4104501;4104501.124460-0;4104501.124460-0; RUA CARIRIS ;1152;;10;20
4104501;4104501.124478-0;4104501.124478-0; RUA CARIRIS ;1152;;10;20
4104501;4104501.124486-0;4104501.124486-0; RUA CARIRIS ;1180;;10;20
4104501;4104501.124494-0;4104501.124494-0; RUA CARIRIS ;1186;;10;20
4104501;4104501.124508-0;4104501.124508-0; RUA CARIRIS ;1200;;10;20
4104501;4104501.124516-0;4104501.124516-0; RUA CARIRIS ;1210;;10;20
